lot_size,starting_cash,return,sharpe
10,5000,33.43,1.129
10,7500,25.9,0.966
10,10000,29.06,0.993
10,15000,25.33,0.955
10,20000,26.02,1.017
15,5000,38.37,1.168
15,7500,15.81,0.581
15,10000,32.93,1.108
15,15000,40.62,1.338
15,20000,21.77,0.815
25,5000,5.76,0.19
25,7500,19.49,0.667
25,10000,35.52,1.204
25,15000,20.37,0.749
25,20000,26.54,0.874
40,5000,2.1,0.077
40,7500,27.04,0.771
40,10000,49.03,1.489
40,15000,25.68,0.877
40,20000,33.43,1.129
50,5000,-7.8,-0.297
50,7500,29.06,0.933
50,10000,38.91,1.161
50,15000,25.56,1.02
50,20000,37.34,1.222
