strategy,day,value
Q-Learning,0,10000.0
Q-Learning,1,9981.984405517578
Q-Learning,2,10108.399658203125
Q-Learning,3,10039.718322753906
Q-Learning,4,9963.07113647461
Q-Learning,5,9868.011169433594
Q-Learning,6,9816.747741699219
Q-Learning,7,9765.519088745117
Q-Learning,8,9873.00456237793
Q-Learning,9,9776.915939331055
Q-Learning,10,9975.570724487305
Q-Learning,11,10087.853744506836
Q-Learning,12,10237.565170288086
Q-Learning,13,10239.364364624023
Q-Learning,14,10129.000106811523
Q-Learning,15,9838.695358276367
Q-Learning,16,10047.361968994139
Q-Learning,17,10074.687408447266
Q-Learning,18,10030.718444824219
Q-Learning,19,9991.221069335938
Q-Learning,20,9921.791290283205
Q-Learning,21,9921.791290283205
Q-Learning,22,9987.729248046875
Q-Learning,23,10098.729797363283
Q-Learning,24,9987.698883056642
Q-Learning,25,10121.935333251955
Q-Learning,26,10089.724884033205
Q-Learning,27,9989.132965087892
Q-Learning,28,10198.923309326174
Q-Learning,29,10305.303009033205
Q-Learning,30,10290.217498779299
Q-Learning,31,10319.933685302734
Q-Learning,32,10334.641632080082
Q-Learning,33,10013.169769287111
Q-Learning,34,9809.138641357424
Q-Learning,35,9588.246795654299
Q-Learning,36,9779.242279052736
Q-Learning,37,9328.167083740238
Q-Learning,38,9463.871124267582
Q-Learning,39,9213.1608581543
Q-Learning,40,9259.865203857426
Q-Learning,41,9337.207489013676
Q-Learning,42,9312.532165527347
Q-Learning,43,9312.532165527347
Q-Learning,44,8956.800765991215
Q-Learning,45,8977.622421264652
Q-Learning,46,9265.91639709473
Q-Learning,47,9258.238052368168
Q-Learning,48,9623.551773071293
Q-Learning,49,9469.50807189942
Q-Learning,50,9174.377395629886
Q-Learning,51,9299.747879028324
Q-Learning,52,9372.450454711916
Q-Learning,53,9322.662246704105
Q-Learning,54,9545.210464477543
Q-Learning,55,9510.658462524418
Q-Learning,56,9178.096817016605
Q-Learning,57,9038.33012390137
Q-Learning,58,8932.754714965824
Q-Learning,59,8855.372512817386
Q-Learning,60,8940.312576293949
Q-Learning,61,8956.508712768558
Q-Learning,62,8542.846359252933
Q-Learning,63,7916.766464233404
Q-Learning,64,7834.163009643558
Q-Learning,65,7602.266708374028
Q-Learning,66,8765.05555725098
Q-Learning,67,8382.069046020511
Q-Learning,68,8699.196548461918
Q-Learning,69,8853.051376342777
Q-Learning,70,8857.318374633793
Q-Learning,71,8482.98963928223
Q-Learning,72,8544.04515075684
Q-Learning,73,8407.248336792
Q-Learning,74,8642.883102417
Q-Learning,75,8816.924118042
Q-Learning,76,8951.930160522465
Q-Learning,77,8984.518356323246
Q-Learning,78,9015.315231323246
Q-Learning,79,9053.63334655762
Q-Learning,80,9098.629409790043
Q-Learning,81,9160.266098022465
Q-Learning,82,8909.52641296387
Q-Learning,83,8670.03031921387
Q-Learning,84,8653.062942504886
Q-Learning,85,8614.360488891605
Q-Learning,86,8662.485366821293
Q-Learning,87,8691.09037780762
Q-Learning,88,9217.766143798835
Q-Learning,89,9372.638916015632
Q-Learning,90,9569.525115966804
Q-Learning,91,9514.962127685554
Q-Learning,92,9553.224502563484
Q-Learning,93,9538.502014160164
Q-Learning,94,9427.684448242195
Q-Learning,95,9454.009460449226
Q-Learning,96,9525.97375488282
Q-Learning,97,9364.896072387703
Q-Learning,98,9573.013671875007
Q-Learning,99,9552.301452636726
Q-Learning,100,9646.267654418953
Q-Learning,101,9555.842147827156
Q-Learning,102,9518.020431518562
Q-Learning,103,9576.076217651374
Q-Learning,104,9601.27061462403
Q-Learning,105,9531.807357788093
Q-Learning,106,9614.826644897468
