date,artificial intelligence,ChatGPT,Claude AI,generative AI,machine learning,ai_trend_score,ai_trend_4w_mean,ai_trend_4w_change,ai_trend_spike,ai_trend_bucket
2021-12-26,1,0,0,0,1,0.4,,,0,low
2022-01-02,1,0,0,0,1,0.4,,,0,low
2022-01-09,1,0,0,0,2,0.6,,,0,low
2022-01-16,1,0,0,0,1,0.4,0.45,-0.04999999999999999,0,low
2022-01-23,1,0,0,0,2,0.6,0.5,0.09999999999999998,0,low
2022-01-30,1,0,0,0,2,0.6,0.55,0.04999999999999993,0,low
2022-02-06,1,0,0,0,2,0.6,0.5499999999999999,0.050000000000000044,0,low
2022-02-13,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-02-20,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-02-27,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-03-06,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-03-13,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-03-20,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-03-27,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-04-03,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-04-10,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-04-17,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-04-24,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-05-01,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-05-08,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-05-15,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-05-22,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-05-29,1,0,0,0,1,0.4,0.5499999999999999,-0.1499999999999999,0,low
2022-06-05,1,0,0,0,2,0.6,0.55,0.04999999999999993,0,low
2022-06-12,1,0,0,0,2,0.6,0.5499999999999999,0.050000000000000044,0,low
2022-06-19,1,0,0,0,2,0.6,0.55,0.04999999999999993,0,low
2022-06-26,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-07-03,1,0,0,0,1,0.4,0.55,-0.15000000000000002,0,low
2022-07-10,1,0,0,0,2,0.6,0.5499999999999999,0.050000000000000044,0,low
2022-07-17,1,0,0,0,2,0.6,0.55,0.04999999999999993,0,low
2022-07-24,1,0,0,0,2,0.6,0.5499999999999999,0.050000000000000044,0,low
2022-07-31,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-08-07,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-08-14,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-08-21,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-08-28,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-09-04,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-09-11,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-09-18,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-09-25,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-10-02,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-10-09,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-10-16,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-10-23,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-10-30,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-11-06,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-11-13,1,0,0,0,2,0.6,0.6,0.0,0,low
2022-11-20,1,0,0,0,1,0.4,0.55,-0.15000000000000002,0,low
2022-11-27,1,1,0,0,2,0.8,0.6,0.20000000000000007,0,low
2022-12-04,1,22,0,0,2,5.0,1.7,3.3,0,low
2022-12-11,1,27,0,0,2,6.0,3.05,2.95,0,medium
2022-12-18,1,12,0,0,1,2.8,3.65,-0.8500000000000001,0,low
2022-12-25,1,10,0,0,1,2.4,4.05,-1.65,0,low
2023-01-01,1,16,0,0,1,3.6,3.6999999999999997,-0.09999999999999964,0,low
2023-01-08,1,24,0,0,2,5.4,3.5500000000000003,1.85,0,medium
2023-01-15,1,26,0,0,2,5.8,4.3,1.5,0,medium
2023-01-22,1,36,0,0,2,7.8,5.65,2.1499999999999995,0,medium
2023-01-29,1,41,0,0,2,8.8,6.949999999999999,1.8500000000000014,0,medium
2023-02-05,1,48,0,0,2,10.2,8.15,2.049999999999999,0,high
2023-02-12,1,40,0,0,2,8.6,8.85,-0.25,0,medium
2023-02-19,1,39,0,0,2,8.4,9.0,-0.5999999999999996,0,medium
2023-02-26,1,41,0,0,2,8.8,9.0,-0.1999999999999993,0,medium
2023-03-05,1,40,0,0,2,8.6,8.600000000000001,-1.7763568394002505e-15,0,medium
2023-03-12,1,42,0,0,2,9.0,8.7,0.3000000000000007,0,medium
2023-03-19,1,49,0,0,2,10.4,9.200000000000001,1.1999999999999993,0,high
2023-03-26,2,51,0,0,2,11.0,9.75,1.25,0,high
2023-04-02,2,48,0,0,2,10.4,10.2,0.20000000000000107,0,high
2023-04-09,2,50,0,0,2,10.8,10.65,0.15000000000000036,0,high
2023-04-16,2,52,0,0,2,11.2,10.850000000000001,0.34999999999999787,0,high
2023-04-23,2,51,0,1,2,11.2,10.9,0.29999999999999893,0,high
2023-04-30,2,48,0,1,2,10.6,10.950000000000001,-0.3500000000000014,0,high
2023-05-07,2,45,0,1,2,10.0,10.75,-0.75,0,high
2023-05-14,2,44,0,1,2,9.8,10.4,-0.5999999999999996,0,high
2023-05-21,1,38,0,1,2,8.4,9.7,-1.299999999999999,0,medium
2023-05-28,2,34,0,1,2,7.8,9.0,-1.2000000000000002,0,medium
2023-06-04,1,33,0,1,2,7.4,8.35,-0.9499999999999993,0,medium
2023-06-11,1,33,0,1,1,7.2,7.700000000000001,-0.5000000000000009,0,medium
2023-06-18,1,30,0,1,1,6.6,7.25,-0.6500000000000004,0,medium
2023-06-25,1,29,0,1,2,6.6,6.949999999999999,-0.34999999999999964,0,medium
2023-07-02,1,26,0,1,1,5.8,6.55,-0.75,0,medium
2023-07-09,1,30,0,1,2,6.8,6.45,0.34999999999999964,0,medium
2023-07-16,1,28,0,1,2,6.4,6.4,0.0,0,medium
2023-07-23,1,25,0,1,2,5.8,6.199999999999999,-0.39999999999999947,0,medium
2023-07-30,1,25,0,1,2,5.8,6.2,-0.40000000000000036,0,medium
2023-08-06,1,25,0,1,2,5.8,5.95,-0.15000000000000036,0,medium
2023-08-13,1,25,0,1,2,5.8,5.8,0.0,0,medium
2023-08-20,1,29,0,1,2,6.6,6.0,0.5999999999999996,0,medium
2023-08-27,1,37,0,1,2,8.2,6.6,1.5999999999999996,0,medium
