date,ticker,close,volume,daily_return,return_5d_forward,return_10d_forward,drawdown_5d_forward,volume_zscore,rolling_volatility_20d,ai_trend_score,sec_ai_density,trend_bucket,volume_bucket,volatility_bucket,recent_return_bucket,sec_ai_bucket,state
2022-01-03,AAPL,182.00999450683597,104487900,,-0.05395303753531455,-0.06708418121851856,-0.07603976020872216,,,,,missing,nan,nan,nan,nan,trend=missing|volume=nan|volatility=nan|recent_return=nan|sec_ai=nan
2022-01-04,AAPL,179.6999969482422,99310400,-0.012691597320536263,-0.025709489124355223,-0.07495827183894055,-0.06416248734059682,,,,,missing,nan,nan,low,nan,trend=missing|volume=nan|volatility=nan|recent_return=low|sec_ai=nan
2022-01-05,AAPL,174.9199981689453,94537600,-0.02659988236212174,0.0034873120097016486,-0.059512941750976545,-0.03858906969276643,,,,,missing,nan,nan,low,nan,trend=missing|volume=nan|volatility=nan|recent_return=low|sec_ai=nan
2022-01-06,AAPL,172.0,96904000,-0.016693335236175,0.001104665357013035,-0.0557557926621548,-0.022267452506131935,,,,,missing,nan,nan,low,nan,trend=missing|volume=nan|volatility=nan|recent_return=low|sec_ai=nan
2022-01-07,AAPL,172.1699981689453,86709100,0.0009883614473564784,0.005227444762996969,-0.06127666355322492,-0.02323285149875487,,,,,missing,nan,nan,medium,nan,trend=missing|volume=nan|volatility=nan|recent_return=medium|sec_ai=nan
2022-01-10,AAPL,172.19000244140625,106765600,0.00011618907285648739,-0.013880012519668306,-0.07207156911640278,-0.01614494883489459,,,,,missing,nan,nan,medium,nan,trend=missing|volume=nan|volatility=nan|recent_return=medium|sec_ai=nan
2022-01-11,AAPL,175.0800018310547,76138300,0.016783781570778755,-0.05054835510029032,-0.08790266865829244,-0.052204702387815716,,,,,missing,nan,nan,high,nan,trend=missing|volume=nan|volatility=nan|recent_return=high|sec_ai=nan
2022-01-12,AAPL,175.52999877929688,74805200,0.0025702361408266317,-0.06278131572436785,-0.09291857615233723,-0.06466134667833379,,,,,missing,nan,nan,medium,nan,trend=missing|volume=nan|volatility=nan|recent_return=medium|sec_ai=nan
2022-01-13,AAPL,172.19000244140625,84505800,-0.019028065636177538,-0.056797715550441774,-0.010802024414771072,-0.05743654828632605,,,,,missing,nan,nan,low,nan,trend=missing|volume=nan|volatility=nan|recent_return=low|sec_ai=nan
2022-01-14,AAPL,173.07000732421875,80440800,0.005110661887074208,-0.06615826961618776,0.00988034542504379,-0.1061420789193318,-0.8680088260767572,,,,missing,low,nan,medium,nan,trend=missing|volume=low|volatility=nan|recent_return=medium|sec_ai=nan
2022-01-18,AAPL,169.8000030517578,90956700,-0.018894112983626976,-0.05901062480786101,0.028327429164577644,-0.08892818511265221,0.041190709117750655,0.013803213324418372,,,missing,medium,medium,low,nan,trend=missing|volume=medium|volatility=medium|recent_return=low|sec_ai=nan
2022-01-19,AAPL,166.22999572753906,94815000,-0.021024777738847034,-0.03934303948880713,0.05781147119863328,-0.06936172216592751,0.37564283335797083,0.013776193667575785,,,missing,high,medium,low,nan,trend=missing|volume=high|volatility=medium|recent_return=low|sec_ai=nan
2022-01-20,AAPL,164.50999450683594,91420500,-0.010347117036099251,-0.0321560601955585,0.050999937206245516,-0.05963162048604964,0.05095007767306474,0.013150755441328875,,,missing,medium,low,low,nan,trend=missing|volume=medium|volatility=low|recent_return=low|sec_ai=nan
2022-01-21,AAPL,162.41000366210938,122848900,-0.01276512622240289,0.04876545773265728,0.06144939044704567,-0.04747248654650427,2.2987883017700987,0.01265139818811008,,,missing,high,low,low,nan,trend=missing|volume=high|volatility=low|recent_return=low|sec_ai=nan
2022-01-24,AAPL,161.6199951171875,162294600,-0.00486428500159064,0.081425591261572,0.062121079372896126,-0.02846176824464819,2.965792525531925,0.012197149320739802,,,missing,high,low,medium,nan,trend=missing|volume=high|volatility=low|recent_return=medium|sec_ai=nan
2022-01-25,AAPL,159.77999877929688,115798400,-0.011384707297859231,0.09281513296003507,0.09419203383864261,-0.012266813556466749,0.7854726178614841,0.01177902073823978,,,missing,high,low,low,nan,trend=missing|volume=high|volatility=low|recent_return=low|sec_ai=nan
2022-01-26,AAPL,159.69000244140625,108275300,-0.0005632515870458432,0.10113340628453038,0.10388875999909808,-0.008829630161892754,0.42067971587883013,0.011554825634767068,,,missing,high,low,medium,nan,trend=missing|volume=high|volatility=low|recent_return=medium|sec_ai=nan
2022-01-27,AAPL,159.22000122070312,121954600,-0.0029432100539642514,0.08591880775593452,0.08101993341026947,0.022484623813639137,1.0119622847080187,0.011257077320224872,,,missing,high,low,medium,nan,trend=missing|volume=high|volatility=low|recent_return=medium|sec_ai=nan
