date,google_trends_ai_interest,trend_keyword
2020-01-01,1,Google AI
2020-02-01,1,Google AI
2020-03-01,1,Google AI
2020-04-01,1,Google AI
2020-05-01,1,Google AI
2020-06-01,1,Google AI
2020-07-01,1,Google AI
2020-08-01,1,Google AI
2020-09-01,1,Google AI
2020-10-01,1,Google AI
2020-11-01,1,Google AI
2020-12-01,2,Google AI
2021-01-01,1,Google AI
2021-02-01,1,Google AI
2021-03-01,1,Google AI
2021-04-01,1,Google AI
2021-05-01,1,Google AI
2021-06-01,1,Google AI
2021-07-01,1,Google AI
2021-08-01,1,Google AI
2021-09-01,1,Google AI
2021-10-01,1,Google AI
2021-11-01,1,Google AI
2021-12-01,1,Google AI
2022-01-01,1,Google AI
2022-02-01,1,Google AI
2022-03-01,1,Google AI
2022-04-01,2,Google AI
2022-05-01,2,Google AI
2022-06-01,8,Google AI
2022-07-01,3,Google AI
2022-08-01,2,Google AI
2022-09-01,2,Google AI
2022-10-01,3,Google AI
2022-11-01,3,Google AI
2022-12-01,4,Google AI
2023-01-01,5,Google AI
2023-02-01,11,Google AI
2023-03-01,10,Google AI
2023-04-01,14,Google AI
2023-05-01,18,Google AI
2023-06-01,13,Google AI
2023-07-01,11,Google AI
2023-08-01,11,Google AI
2023-09-01,14,Google AI
2023-10-01,14,Google AI
2023-11-01,16,Google AI
2023-12-01,17,Google AI
2024-01-01,14,Google AI
2024-02-01,22,Google AI
2024-03-01,20,Google AI
2024-04-01,20,Google AI
2024-05-01,28,Google AI
2024-06-01,21,Google AI
2024-07-01,17,Google AI
2024-08-01,19,Google AI
2024-09-01,24,Google AI
2024-10-01,27,Google AI
2024-11-01,27,Google AI
2024-12-01,28,Google AI
2025-01-01,29,Google AI
2025-02-01,34,Google AI
2025-03-01,35,Google AI
2025-04-01,40,Google AI
2025-05-01,45,Google AI
2025-06-01,55,Google AI
2025-07-01,61,Google AI
2025-08-01,60,Google AI
2025-09-01,83,Google AI
2025-10-01,84,Google AI
2025-11-01,100,Google AI
2025-12-01,99,Google AI
