date,google_trends_ai_interest,trend_keyword
2020-01-01,1,Microsoft AI
2020-02-01,1,Microsoft AI
2020-03-01,1,Microsoft AI
2020-04-01,1,Microsoft AI
2020-05-01,1,Microsoft AI
2020-06-01,1,Microsoft AI
2020-07-01,1,Microsoft AI
2020-08-01,1,Microsoft AI
2020-09-01,1,Microsoft AI
2020-10-01,1,Microsoft AI
2020-11-01,1,Microsoft AI
2020-12-01,1,Microsoft AI
2021-01-01,1,Microsoft AI
2021-02-01,1,Microsoft AI
2021-03-01,1,Microsoft AI
2021-04-01,1,Microsoft AI
2021-05-01,1,Microsoft AI
2021-06-01,1,Microsoft AI
2021-07-01,1,Microsoft AI
2021-08-01,1,Microsoft AI
2021-09-01,1,Microsoft AI
2021-10-01,1,Microsoft AI
2021-11-01,1,Microsoft AI
2021-12-01,1,Microsoft AI
2022-01-01,1,Microsoft AI
2022-02-01,2,Microsoft AI
2022-03-01,1,Microsoft AI
2022-04-01,1,Microsoft AI
2022-05-01,1,Microsoft AI
2022-06-01,2,Microsoft AI
2022-07-01,1,Microsoft AI
2022-08-01,1,Microsoft AI
2022-09-01,1,Microsoft AI
2022-10-01,2,Microsoft AI
2022-11-01,1,Microsoft AI
2022-12-01,2,Microsoft AI
2023-01-01,5,Microsoft AI
2023-02-01,13,Microsoft AI
2023-03-01,12,Microsoft AI
2023-04-01,10,Microsoft AI
2023-05-01,13,Microsoft AI
2023-06-01,10,Microsoft AI
2023-07-01,10,Microsoft AI
2023-08-01,10,Microsoft AI
2023-09-01,10,Microsoft AI
2023-10-01,13,Microsoft AI
2023-11-01,20,Microsoft AI
2023-12-01,14,Microsoft AI
2024-01-01,16,Microsoft AI
2024-02-01,23,Microsoft AI
2024-03-01,23,Microsoft AI
2024-04-01,21,Microsoft AI
2024-05-01,23,Microsoft AI
2024-06-01,21,Microsoft AI
2024-07-01,17,Microsoft AI
2024-08-01,18,Microsoft AI
2024-09-01,21,Microsoft AI
2024-10-01,23,Microsoft AI
2024-11-01,24,Microsoft AI
2024-12-01,22,Microsoft AI
2025-01-01,28,Microsoft AI
2025-02-01,33,Microsoft AI
2025-03-01,33,Microsoft AI
2025-04-01,35,Microsoft AI
2025-05-01,34,Microsoft AI
2025-06-01,49,Microsoft AI
2025-07-01,64,Microsoft AI
2025-08-01,62,Microsoft AI
2025-09-01,66,Microsoft AI
2025-10-01,62,Microsoft AI
2025-11-01,100,Microsoft AI
2025-12-01,89,Microsoft AI
