ticker,cik,filing_date,form,accession_number,primary_document,filing_url,ai_keyword_hits,word_count,ai_intensity_per_1000_words
AAPL,0000320193,2020-01-28,8-K,0000320193-20-000008,a8-kq1202012282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/a8-kq1202012282019.htm,0,371,0.0
AAPL,0000320193,2020-01-29,10-Q,0000320193-20-000010,a10-qq1202012282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm,0,12591,0.0
AAPL,0000320193,2020-02-18,8-K,0001193125-20-039203,d845033d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520039203/d845033d8k.htm,0,356,0.0
AAPL,0000320193,2020-02-27,8-K,0001193125-20-050884,d865740d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520050884/d865740d8k.htm,0,315,0.0
AAPL,0000320193,2020-04-30,8-K,0000320193-20-000050,a8-kq220203282020.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000050/a8-kq220203282020.htm,0,371,0.0
AAPL,0000320193,2020-05-01,10-Q,0000320193-20-000052,a10-qq220203282020.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm,0,14650,0.0
AAPL,0000320193,2020-05-11,8-K,0001193125-20-139112,d926511d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520139112/d926511d8k.htm,0,645,0.0
AAPL,0000320193,2020-07-30,8-K,0000320193-20-000060,aapl-20200730.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/aapl-20200730.htm,0,373,0.0
AAPL,0000320193,2020-07-31,10-Q,0000320193-20-000062,aapl-20200627.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm,0,14974,0.0
AAPL,0000320193,2020-08-07,8-K,0001193125-20-213158,d49399d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520213158/d49399d8k.htm,0,387,0.0
AAPL,0000320193,2020-08-20,8-K,0001193125-20-225672,d937363d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312520225672/d937363d8k.htm,0,641,0.0
AAPL,0000320193,2020-10-29,8-K,0000320193-20-000094,aapl-20201029.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/aapl-20201029.htm,0,383,0.0
AAPL,0000320193,2020-10-30,10-K,0000320193-20-000096,aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,0,31252,0.0
AAPL,0000320193,2021-01-05,8-K,0001193125-21-001982,d29637d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521001982/d29637d8k.htm,0,464,0.0
AAPL,0000320193,2021-01-27,8-K,0000320193-21-000009,aapl-20210127.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/aapl-20210127.htm,0,383,0.0
AAPL,0000320193,2021-01-28,10-Q,0000320193-21-000010,aapl-20201226.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm,0,12688,0.0
AAPL,0000320193,2021-02-08,8-K,0001193125-21-032394,d70217d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521032394/d70217d8k.htm,0,676,0.0
AAPL,0000320193,2021-02-24,8-K,0001193125-21-054710,d101693d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521054710/d101693d8k.htm,0,299,0.0
AAPL,0000320193,2021-04-28,8-K,0000320193-21-000055,aapl-20210428.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/aapl-20210428.htm,0,383,0.0
AAPL,0000320193,2021-04-29,10-Q,0000320193-21-000056,aapl-20210327.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm,0,13397,0.0
AAPL,0000320193,2021-07-27,8-K,0000320193-21-000063,aapl-20210727.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/aapl-20210727.htm,0,383,0.0
AAPL,0000320193,2021-07-28,10-Q,0000320193-21-000065,aapl-20210626.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm,0,14019,0.0
AAPL,0000320193,2021-08-05,8-K,0001193125-21-237787,d199884d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521237787/d199884d8k.htm,0,649,0.0
AAPL,0000320193,2021-10-28,8-K,0000320193-21-000104,aapl-20211028.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm,0,373,0.0
AAPL,0000320193,2021-10-29,10-K,0000320193-21-000105,aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,0,28539,0.0
AAPL,0000320193,2021-11-12,8-K,0001193125-21-328151,d259993d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312521328151/d259993d8k.htm,0,477,0.0
AAPL,0000320193,2022-01-27,8-K,0000320193-22-000006,aapl-20220127.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm,0,373,0.0
AAPL,0000320193,2022-01-28,10-Q,0000320193-22-000007,aapl-20211225.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm,0,6641,0.0
AAPL,0000320193,2022-03-04,8-K,0001193125-22-066169,d294699d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522066169/d294699d8k.htm,0,575,0.0
AAPL,0000320193,2022-04-28,8-K,0000320193-22-000058,aapl-20220428.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/aapl-20220428.htm,0,373,0.0
AAPL,0000320193,2022-04-29,10-Q,0000320193-22-000059,aapl-20220326.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm,0,7145,0.0
AAPL,0000320193,2022-07-28,8-K,0000320193-22-000069,aapl-20220728.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/aapl-20220728.htm,0,373,0.0
AAPL,0000320193,2022-07-29,10-Q,0000320193-22-000070,aapl-20220625.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm,0,6960,0.0
AAPL,0000320193,2022-08-08,8-K,0001193125-22-214914,d297151d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522214914/d297151d8k.htm,0,642,0.0
AAPL,0000320193,2022-08-19,8-K,0001193125-22-225365,d366128d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522225365/d366128d8k.htm,0,680,0.0
AAPL,0000320193,2022-10-27,8-K,0000320193-22-000107,aapl-20221027.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/aapl-20221027.htm,0,373,0.0
AAPL,0000320193,2022-10-28,10-K,0000320193-22-000108,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,0,27367,0.0
AAPL,0000320193,2022-11-07,8-K,0001193125-22-278435,d400465d8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312522278435/d400465d8k.htm,0,348,0.0
