ticker,cik,filing_date,form,accession_number,primary_document,filing_url,ai_keyword_hits,word_count,ai_intensity_per_1000_words
GOOGL,0001652044,2020-01-10,8-K,0001193125-20-005271,d864989d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520005271/d864989d8k.htm,0,309,0.0
GOOGL,0001652044,2020-02-03,8-K,0001652044-20-000004,goog8-kq42019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000004/goog8-kq42019.htm,0,371,0.0
GOOGL,0001652044,2020-02-04,10-K,0001652044-20-000008,goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,17,36862,0.46117953447995225
GOOGL,0001652044,2020-04-28,8-K,0001652044-20-000018,goog-20200428.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000018/goog-20200428.htm,0,375,0.0
GOOGL,0001652044,2020-04-29,10-Q,0001652044-20-000021,goog-20200331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000021/goog-20200331.htm,3,29851,0.10049914575726107
GOOGL,0001652044,2020-06-05,8-K,0001652044-20-000027,goog-20200603.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000027/goog-20200603.htm,0,886,0.0
GOOGL,0001652044,2020-07-30,8-K,0001652044-20-000031,goog-20200730.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000031/goog-20200730.htm,0,375,0.0
GOOGL,0001652044,2020-07-31,10-Q,0001652044-20-000032,goog-20200630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000032/goog-20200630.htm,3,31593,0.09495774380400722
GOOGL,0001652044,2020-08-05,8-K,0001193125-20-210772,d847493d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520210772/d847493d8k.htm,0,510,0.0
GOOGL,0001652044,2020-09-25,8-K,0001193125-20-254587,d87812d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520254587/d87812d8k.htm,0,404,0.0
GOOGL,0001652044,2020-10-20,8-K,0001193125-20-272940,d54645d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520272940/d54645d8k.htm,0,351,0.0
GOOGL,0001652044,2020-10-23,8-K,0001193125-20-275550,d63784d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520275550/d63784d8k.htm,0,428,0.0
GOOGL,0001652044,2020-10-26,8-K,0001652044-20-000038,a202010268-kbylaws.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000038/a202010268-kbylaws.htm,0,408,0.0
GOOGL,0001652044,2020-10-29,8-K,0001652044-20-000046,goog-20201029.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000046/goog-20201029.htm,0,375,0.0
GOOGL,0001652044,2020-10-30,10-Q,0001652044-20-000050,goog-20200930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000050/goog-20200930.htm,3,31932,0.09394964299135664
GOOGL,0001652044,2020-12-21,8-K,0001193125-20-323272,d25115d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312520323272/d25115d8k.htm,0,386,0.0
GOOGL,0001652044,2021-02-02,8-K,0001652044-21-000006,goog-20210202.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000006/goog-20210202.htm,0,378,0.0
GOOGL,0001652044,2021-02-03,10-K,0001652044-21-000010,goog-20201231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,17,45572,0.3730360747827613
GOOGL,0001652044,2021-03-04,8-K,0001193125-21-069770,d147700d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312521069770/d147700d8k.htm,0,327,0.0
GOOGL,0001652044,2021-04-09,8-K,0001193125-21-111624,d41212d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312521111624/d41212d8k.htm,0,701,0.0
GOOGL,0001652044,2021-04-27,8-K,0001652044-21-000018,goog-20210427.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000018/goog-20210427.htm,0,375,0.0
GOOGL,0001652044,2021-04-28,10-Q,0001652044-21-000020,goog-20210331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000020/goog-20210331.htm,1,16046,0.0623208276205908
GOOGL,0001652044,2021-06-04,8-K,0001193125-21-182989,d177913d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312521182989/d177913d8k.htm,0,731,0.0
GOOGL,0001652044,2021-07-08,8-K,0001193125-21-210942,d181634d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312521210942/d181634d8k.htm,0,311,0.0
GOOGL,0001652044,2021-07-27,8-K,0001652044-21-000041,goog-20210727.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000041/goog-20210727.htm,0,375,0.0
GOOGL,0001652044,2021-07-28,10-Q,0001652044-21-000047,goog-20210630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000047/goog-20210630.htm,1,18267,0.054743526577982156
GOOGL,0001652044,2021-10-26,8-K,0001652044-21-000054,goog-20211026.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000054/goog-20211026.htm,0,375,0.0
GOOGL,0001652044,2021-10-27,10-Q,0001652044-21-000057,goog-20210930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000057/goog-20210930.htm,1,18313,0.05460601758313766
GOOGL,0001652044,2022-01-04,8-K,0001652044-22-000009,goog-20211228.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000009/goog-20211228.htm,0,874,0.0
GOOGL,0001652044,2022-02-01,8-K,0001652044-22-000015,goog-20220201.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000015/goog-20220201.htm,0,751,0.0
GOOGL,0001652044,2022-02-02,10-K,0001652044-22-000019,goog-20211231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,13,43770,0.2970070824765821
GOOGL,0001652044,2022-04-26,8-K,0001652044-22-000025,goog-20220426.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000025/goog-20220426.htm,0,375,0.0
GOOGL,0001652044,2022-04-27,10-Q,0001652044-22-000029,goog-20220331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000029/goog-20220331.htm,1,14996,0.06668444918644972
GOOGL,0001652044,2022-06-03,8-K,0001193125-22-167375,d294315d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312522167375/d294315d8k.htm,0,1177,0.0
GOOGL,0001652044,2022-07-13,8-K,0001193125-22-192153,d373544d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312522192153/d373544d8k.htm,1,731,1.0
GOOGL,0001652044,2022-07-14,8-K,0001193125-22-193655,d336210d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312522193655/d336210d8k.htm,0,973,0.0
GOOGL,0001652044,2022-07-26,8-K,0001652044-22-000068,goog-20220726.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000068/goog-20220726.htm,0,375,0.0
GOOGL,0001652044,2022-07-27,10-Q,0001652044-22-000071,goog-20220630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000071/goog-20220630.htm,1,16453,0.060779189205616
GOOGL,0001652044,2022-10-25,8-K,0001652044-22-000085,goog-20221025.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000085/goog-20221025.htm,0,645,0.0
GOOGL,0001652044,2022-10-26,10-Q,0001652044-22-000090,goog-20220930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000090/goog-20220930.htm,1,17752,0.05633168093735917
GOOGL,0001652044,2022-12-21,8-K,0001193125-22-310153,d441338d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312522310153/d441338d8k.htm,0,849,0.0
GOOGL,0001652044,2023-01-20,8-K,0001193125-23-011424,d454494d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312523011424/d454494d8k.htm,3,785,3.0
GOOGL,0001652044,2023-01-25,8-K,0001652044-23-000005,goog-20230124.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000005/goog-20230124.htm,0,287,0.0
GOOGL,0001652044,2023-02-02,8-K,0001652044-23-000013,goog-20230202.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000013/goog-20230202.htm,0,376,0.0
GOOGL,0001652044,2023-02-03,10-K,0001652044-23-000016,goog-20221231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,28,41969,0.6671590936167171
GOOGL,0001652044,2023-04-20,8-K,0001652044-23-000034,goog-20230420.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000034/goog-20230420.htm,0,300,0.0
GOOGL,0001652044,2023-04-21,8-K,0001193125-23-110657,d490635d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312523110657/d490635d8k.htm,0,718,0.0
GOOGL,0001652044,2023-04-25,8-K,0001652044-23-000041,goog-20230425.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000041/goog-20230425.htm,0,373,0.0
GOOGL,0001652044,2023-04-26,10-Q,0001652044-23-000045,goog-20230331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/goog-20230331.htm,2,15577,0.12839442768183862
GOOGL,0001652044,2023-06-08,8-K,0001193125-23-163590,d442583d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312523163590/d442583d8k.htm,0,953,0.0
GOOGL,0001652044,2023-07-25,8-K,0001652044-23-000067,goog-20230720.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000067/goog-20230720.htm,0,438,0.0
GOOGL,0001652044,2023-07-26,10-Q,0001652044-23-000070,goog-20230630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm,5,17768,0.28140477262494373
GOOGL,0001652044,2023-10-24,8-K,0001652044-23-000088,goog-20231018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000088/goog-20231018.htm,0,553,0.0
GOOGL,0001652044,2023-10-25,10-Q,0001652044-23-000094,goog-20230930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm,5,18101,0.27622783271642454
GOOGL,0001652044,2024-01-30,8-K,0001652044-24-000014,goog-20240130.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/goog-20240130.htm,0,379,0.0
GOOGL,0001652044,2024-01-31,10-K,0001652044-24-000022,goog-20231231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,127,44963,2.824544625581033
GOOGL,0001652044,2024-02-08,8-K,0001652044-24-000032,goog-20240208.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000032/goog-20240208.htm,0,461,0.0
GOOGL,0001652044,2024-04-25,8-K,0001652044-24-000047,goog-20240425.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000047/goog-20240425.htm,0,484,0.0
GOOGL,0001652044,2024-04-26,10-Q,0001652044-24-000053,goog-20240331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,9,16380,0.5494505494505495
GOOGL,0001652044,2024-06-05,8-K,0001193125-24-154725,d837191d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312524154725/d837191d8k.htm,0,412,0.0
GOOGL,0001652044,2024-06-07,8-K,0001193125-24-157498,d787017d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312524157498/d787017d8k.htm,0,340,0.0
GOOGL,0001652044,2024-06-13,8-K,0001193125-24-160721,d805807d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312524160721/d805807d8k.htm,4,650,4.0
GOOGL,0001652044,2024-06-26,8-K,0001193125-24-168745,d809715d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312524168745/d809715d8k.htm,0,420,0.0
GOOGL,0001652044,2024-07-23,8-K,0001652044-24-000076,goog-20240723.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000076/goog-20240723.htm,0,416,0.0
GOOGL,0001652044,2024-07-24,10-Q,0001652044-24-000079,goog-20240630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,12,17646,0.6800408024481469
GOOGL,0001652044,2024-08-06,8-K,0001652044-24-000085,goog-20240805.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000085/goog-20240805.htm,0,284,0.0
GOOGL,0001652044,2024-09-24,8-K,0001652044-24-000097,goog-20240924.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000097/goog-20240924.htm,0,427,0.0
GOOGL,0001652044,2024-10-17,8-K,0001193125-24-238769,d627891d8k.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312524238769/d627891d8k.htm,0,264,0.0
