ticker,cik,filing_date,form,accession_number,primary_document,filing_url,ai_keyword_hits,word_count,ai_intensity_per_1000_words
META,0001326801,2020-01-29,8-K,0001326801-20-000010,form8-k12312019earnings.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000010/form8-k12312019earnings.htm,0,467,0.0
META,0001326801,2020-01-30,10-K,0001326801-20-000013,fb-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,9,46246,0.19461142585304675
META,0001326801,2020-02-03,8-K,0001326801-20-000018,feb20208-k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000018/feb20208-k.htm,0,287,0.0
META,0001326801,2020-03-09,8-K,0001326801-20-000023,mar20208-k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000023/mar20208-k.htm,0,314,0.0
META,0001326801,2020-03-13,8-K,0001326801-20-000028,mar20208-k2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000028/mar20208-k2.htm,0,232,0.0
META,0001326801,2020-03-26,8-K,0001326801-20-000031,mar2620208-k.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000031/mar2620208-k.htm,0,392,0.0
META,0001326801,2020-04-29,8-K,0001326801-20-000046,form8-k03312020earnings.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000046/form8-k03312020earnings.htm,0,344,0.0
META,0001326801,2020-04-30,10-Q,0001326801-20-000048,fb-03312020x10q.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000048/fb-03312020x10q.htm,6,37480,0.16008537886873
META,0001326801,2020-05-29,8-K,0001326801-20-000058,form8-k2020annualmeeti.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000058/form8-k2020annualmeeti.htm,0,546,0.0
META,0001326801,2020-07-30,8-K,0001326801-20-000073,form8-k06302020earnings.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000073/form8-k06302020earnings.htm,0,344,0.0
META,0001326801,2020-07-31,10-Q,0001326801-20-000076,fb-06302020x10q.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000076/fb-06302020x10q.htm,6,38555,0.1556218389313967
META,0001326801,2020-10-29,8-K,0001326801-20-000081,form8-k09302020earnings.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000081/form8-k09302020earnings.htm,0,344,0.0
META,0001326801,2020-10-30,10-Q,0001326801-20-000084,fb-09302020x10q.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000084/fb-09302020x10q.htm,7,40890,0.17119100024455858
META,0001326801,2021-01-27,8-K,0001326801-21-000011,fb-20210127.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000011/fb-20210127.htm,0,461,0.0
META,0001326801,2021-01-28,10-K,0001326801-21-000014,fb-20201231.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,12,58506,0.20510716849553892
META,0001326801,2021-04-28,8-K,0001326801-21-000031,fb-20210428.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000031/fb-20210428.htm,0,351,0.0
META,0001326801,2021-04-29,10-Q,0001326801-21-000033,fb-20210331.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000033/fb-20210331.htm,10,43334,0.23076568052799187
META,0001326801,2021-05-27,8-K,0001326801-21-000040,fb-20210526.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000040/fb-20210526.htm,0,680,0.0
META,0001326801,2021-07-28,8-K,0001326801-21-000047,fb-20210728.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000047/fb-20210728.htm,0,351,0.0
META,0001326801,2021-07-29,10-Q,0001326801-21-000049,fb-20210630.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000049/fb-20210630.htm,10,44052,0.22700444928720603
META,0001326801,2021-09-22,8-K,0001326801-21-000053,fb-20210920.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000053/fb-20210920.htm,1,247,1.0
META,0001326801,2021-10-25,8-K,0001326801-21-000062,fb-20211025.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000062/fb-20211025.htm,0,467,0.0
META,0001326801,2021-10-26,10-Q,0001326801-21-000065,fb-20210930.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000065/fb-20210930.htm,10,45648,0.2190676480897301
META,0001326801,2021-10-28,8-K,0001326801-21-000071,fb-20211028.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000071/fb-20211028.htm,0,432,0.0
