ticker,cik,filing_date,form,accession_number,primary_document,filing_url,ai_keyword_hits,word_count,ai_intensity_per_1000_words
MSFT,0000789019,2020-01-29,8-K,0001193125-20-018383,d875975d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520018383/d875975d8k.htm,0,335,0.0
MSFT,0000789019,2020-01-29,10-Q,0001564590-20-002450,msft-10q_20191231.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/msft-10q_20191231.htm,12,21680,0.5535055350553506
MSFT,0000789019,2020-02-26,8-K,0001193125-20-050232,d896577d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520050232/d896577d8k.htm,0,337,0.0
MSFT,0000789019,2020-03-13,8-K,0001193125-20-073072,d884867d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520073072/d884867d8k.htm,0,271,0.0
MSFT,0000789019,2020-03-31,8-K,0001193125-20-091746,d909204d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520091746/d909204d8k.htm,0,468,0.0
MSFT,0000789019,2020-04-29,8-K,0001193125-20-126089,d844377d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520126089/d844377d8k.htm,0,347,0.0
MSFT,0000789019,2020-04-29,10-Q,0001564590-20-019706,msft-10q_20200331.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm,12,22949,0.5228986012462417
MSFT,0000789019,2020-04-30,8-K,0001193125-20-128779,d924162d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520128779/d924162d8k.htm,0,258,0.0
MSFT,0000789019,2020-05-14,8-K,0001193125-20-142890,d911580d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520142890/d911580d8k.htm,0,280,0.0
MSFT,0000789019,2020-06-01,8-K,0001193125-20-157234,d829164d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520157234/d829164d8k.htm,0,596,0.0
MSFT,0000789019,2020-06-26,8-K,0001193125-20-180036,d854075d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520180036/d854075d8k.htm,0,337,0.0
MSFT,0000789019,2020-07-01,8-K,0001193125-20-184744,d949734d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520184744/d949734d8k.htm,0,450,0.0
MSFT,0000789019,2020-07-07,8-K,0001193125-20-188481,d88910d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520188481/d88910d8k.htm,0,265,0.0
MSFT,0000789019,2020-07-22,8-K,0001193125-20-197109,d941281d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520197109/d941281d8k.htm,0,348,0.0
MSFT,0000789019,2020-07-30,10-K,0001564590-20-034944,msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,34,38878,0.8745305828489119
MSFT,0000789019,2020-08-03,8-K,0001193125-20-207517,d49621d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520207517/d49621d8k.htm,0,363,0.0
MSFT,0000789019,2020-09-21,8-K,0001193125-20-250163,d62084d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520250163/d62084d8k.htm,0,368,0.0
MSFT,0000789019,2020-10-27,8-K,0001193125-20-278410,d10535d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520278410/d10535d8k.htm,0,354,0.0
MSFT,0000789019,2020-10-27,10-Q,0001564590-20-047996,msft-10q_20200930.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/msft-10q_20200930.htm,13,21646,0.6005728541069943
MSFT,0000789019,2020-12-04,8-K,0001193125-20-310549,d48255d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312520310549/d48255d8k.htm,0,357,0.0
MSFT,0000789019,2021-01-26,8-K,0001193125-21-017683,d65802d8k.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312521017683/d65802d8k.htm,0,354,0.0
MSFT,0000789019,2021-01-26,10-Q,0001564590-21-002316,msft-10q_20201231.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/msft-10q_20201231.htm,13,23036,0.564334085778781
