ticker,cik,filing_date,form,accession_number,primary_document,filing_url,ai_keyword_hits,word_count,ai_intensity_per_1000_words
NVDA,0001045810,2020-02-13,8-K,0001045810-20-000007,form8-kq4fy20.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000007/form8-kq4fy20.htm,0,466,0.0
NVDA,0001045810,2020-02-20,10-K,0001045810-20-000010,nvda-2020x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,81,32311,2.5068861997462166
NVDA,0001045810,2020-03-10,8-K,0001045810-20-000033,form8-kfy2021variablec.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000033/form8-kfy2021variablec.htm,0,538,0.0
NVDA,0001045810,2020-03-31,8-K,0001193125-20-092939,d904626d8k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000119312520092939/d904626d8k.htm,0,1089,0.0
NVDA,0001045810,2020-04-17,8-K,0001045810-20-000048,mellanoxantitrustappro.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000048/mellanoxantitrustappro.htm,0,389,0.0
NVDA,0001045810,2020-04-27,8-K,0001045810-20-000052,form8-kmellanoxclosing.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000052/form8-kmellanoxclosing.htm,0,700,0.0
NVDA,0001045810,2020-05-21,10-Q,0001045810-20-000065,nvda-20200426.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm,7,12192,0.5741469816272966
NVDA,0001045810,2020-05-21,8-K,0001045810-20-000063,nvda-20200521.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000063/nvda-20200521.htm,0,460,0.0
NVDA,0001045810,2020-06-15,8-K,0001045810-20-000103,a8-k2020annualmeetingr.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000103/a8-k2020annualmeetingr.htm,0,710,0.0
NVDA,0001045810,2020-07-13,8-K,0001045810-20-000127,nvda-20200713.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000127/nvda-20200713.htm,0,455,0.0
NVDA,0001045810,2020-08-19,10-Q,0001045810-20-000147,nvda-20200726.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm,10,14117,0.7083658000991712
NVDA,0001045810,2020-08-19,8-K,0001045810-20-000145,nvda-20200819.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000145/nvda-20200819.htm,0,460,0.0
NVDA,0001045810,2020-09-14,8-K,0001193125-20-244601,d13958d8k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000119312520244601/d13958d8k.htm,0,2288,0.0
NVDA,0001045810,2020-11-09,8-K,0001045810-20-000181,nvda-20201109.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000181/nvda-20201109.htm,0,452,0.0
NVDA,0001045810,2020-11-18,8-K,0001045810-20-000187,nvda-20201118.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000187/nvda-20201118.htm,0,460,0.0
NVDA,0001045810,2020-11-18,10-Q,0001045810-20-000189,nvda-20201025.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/nvda-20201025.htm,11,15401,0.7142393351081099
NVDA,0001045810,2021-02-24,8-K,0001045810-21-000007,nvda-20210224.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000007/nvda-20210224.htm,0,466,0.0
NVDA,0001045810,2021-02-26,10-K,0001045810-21-000010,nvda-20210131.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,84,40957,2.0509314647068875
NVDA,0001045810,2021-03-19,8-K,0001045810-21-000034,nvda-20210315.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000034/nvda-20210315.htm,0,538,0.0
NVDA,0001045810,2021-04-12,8-K,0001045810-21-000047,nvda-20210412.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000047/nvda-20210412.htm,0,394,0.0
NVDA,0001045810,2021-05-21,8-K,0001045810-21-000056,nvda-20210521.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000056/nvda-20210521.htm,0,379,0.0
NVDA,0001045810,2021-05-26,10-Q,0001045810-21-000064,nvda-20210502.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm,8,12208,0.655307994757536
NVDA,0001045810,2021-05-26,8-K,0001045810-21-000063,nvda-20210526.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000063/nvda-20210526.htm,0,460,0.0
NVDA,0001045810,2021-06-07,8-K,0001045810-21-000075,nvda-20210603.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000075/nvda-20210603.htm,0,534,0.0
NVDA,0001045810,2021-06-16,8-K,0001193125-21-192149,d80739d8k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000119312521192149/d80739d8k.htm,0,1133,0.0
NVDA,0001045810,2021-06-28,8-K,0001045810-21-000117,nvda-20210628.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000117/nvda-20210628.htm,0,561,0.0
NVDA,0001045810,2021-08-18,8-K,0001045810-21-000128,nvda-20210818.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000128/nvda-20210818.htm,0,460,0.0
NVDA,0001045810,2021-08-20,10-Q,0001045810-21-000131,nvda-20210801.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm,6,14414,0.4162619675315665
NVDA,0001045810,2021-11-17,8-K,0001045810-21-000160,nvda-20211117.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000160/nvda-20211117.htm,0,460,0.0
NVDA,0001045810,2021-11-22,10-Q,0001045810-21-000163,nvda-20211031.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm,12,17539,0.6841895204971776
NVDA,0001045810,2022-02-08,8-K,0001045810-22-000005,nvda-20220208.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000005/nvda-20220208.htm,0,428,0.0
NVDA,0001045810,2022-02-16,8-K,0001045810-22-000008,nvda-20220216.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000008/nvda-20220216.htm,0,466,0.0
NVDA,0001045810,2022-03-09,8-K,0001045810-22-000023,nvda-20220303.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000023/nvda-20220303.htm,0,768,0.0
NVDA,0001045810,2022-03-18,10-K,0001045810-22-000036,nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,104,41289,2.51883068129526
NVDA,0001045810,2022-05-25,8-K,0001045810-22-000073,nvda-20220525.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000073/nvda-20220525.htm,0,460,0.0
NVDA,0001045810,2022-05-27,10-Q,0001045810-22-000079,nvda-20220501.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm,12,14826,0.8093889113719142
NVDA,0001045810,2022-06-06,8-K,0001045810-22-000088,nvda-20220602.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000088/nvda-20220602.htm,0,683,0.0
NVDA,0001045810,2022-08-08,8-K,0001045810-22-000133,nvda-20220808.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000133/nvda-20220808.htm,0,402,0.0
NVDA,0001045810,2022-08-24,8-K,0001045810-22-000136,nvda-20220824.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000136/nvda-20220824.htm,0,460,0.0
NVDA,0001045810,2022-08-31,8-K,0001045810-22-000146,nvda-20220826.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000146/nvda-20220826.htm,0,944,0.0
NVDA,0001045810,2022-08-31,10-Q,0001045810-22-000147,nvda-20220731.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm,18,20068,0.8969503687462627
NVDA,0001045810,2022-09-01,8-K,0001045810-22-000151,nvda-20220831.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000151/nvda-20220831.htm,0,360,0.0
NVDA,0001045810,2022-11-16,8-K,0001045810-22-000163,nvda-20221116.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000163/nvda-20221116.htm,0,460,0.0
NVDA,0001045810,2022-11-18,10-Q,0001045810-22-000166,nvda-20221030.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm,18,17188,1.0472422620432862
NVDA,0001045810,2023-02-22,8-K,0001045810-23-000014,nvda-20230222.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000014/nvda-20230222.htm,0,466,0.0
NVDA,0001045810,2023-02-24,10-K,0001045810-23-000017,nvda-20230129.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,128,42879,2.9851442431026847
NVDA,0001045810,2023-03-08,8-K,0001045810-23-000039,nvda-20230302.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000039/nvda-20230302.htm,0,953,0.0
NVDA,0001045810,2023-05-24,8-K,0001045810-23-000087,nvda-20230524.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000087/nvda-20230524.htm,0,460,0.0
NVDA,0001045810,2023-05-26,10-Q,0001045810-23-000093,nvda-20230430.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm,86,17911,4.801518619842555
NVDA,0001045810,2023-06-27,8-K,0001045810-23-000146,nvda-20230622.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000146/nvda-20230622.htm,0,495,0.0
NVDA,0001045810,2023-07-24,8-K,0001045810-23-000164,nvda-20230724.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000164/nvda-20230724.htm,0,490,0.0
NVDA,0001045810,2023-08-23,8-K,0001045810-23-000171,nvda-20230823.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000171/nvda-20230823.htm,0,460,0.0
NVDA,0001045810,2023-08-28,10-Q,0001045810-23-000175,nvda-20230730.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm,51,18565,2.7471047670347426
NVDA,0001045810,2023-10-17,8-K,0001045810-23-000217,nvda-20231017.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000217/nvda-20231017.htm,0,937,0.0
NVDA,0001045810,2023-10-24,8-K,0001045810-23-000221,nvda-20231023.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000221/nvda-20231023.htm,0,654,0.0
NVDA,0001045810,2023-11-21,8-K,0001045810-23-000225,nvda-20231121.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000225/nvda-20231121.htm,0,460,0.0
