state,q_sell,q_hold,q_buy,best_action,q_margin,trend,volume,volatility,recent_return,sec_ai,lots
trend=low|volume=nan|volatility=nan|recent_return=medium|sec_ai=low|lots=0,0.07758943582888776,0.07761898232147185,0.07748876515375683,HOLD,2.9546492584089923e-05,low,nan,nan,medium,low,0
trend=low|volume=nan|volatility=nan|recent_return=low|sec_ai=low|lots=0,0.08079643974481981,0.0802790416890617,0.08219484230949059,BUY,0.0013984025646707754,low,nan,nan,low,low,0
trend=low|volume=nan|volatility=nan|recent_return=high|sec_ai=low|lots=1,0.08386801847715403,0.08587301886355303,0.08648320541399655,BUY,0.0006101865504435228,low,nan,nan,high,low,1
trend=low|volume=nan|volatility=nan|recent_return=high|sec_ai=low|lots=0,0.07999086565889826,0.08043040004368031,0.08016231324298184,HOLD,0.0002680868006984666,low,nan,nan,high,low,0
trend=low|volume=nan|volatility=nan|recent_return=medium|sec_ai=low|lots=1,0.0776872481088475,0.08536181614698661,0.08599766585703708,BUY,0.0006358497100504706,low,nan,nan,medium,low,1
trend=low|volume=nan|volatility=nan|recent_return=medium|sec_ai=low|lots=2,0.08704596098536757,0.08822583145339875,0.06390820599473726,HOLD,0.0011798704680311828,low,nan,nan,medium,low,2
trend=low|volume=high|volatility=nan|recent_return=high|sec_ai=low|lots=0,0.06893768839597926,0.06866683711874551,0.06869192054871383,SELL,0.0002457678472654323,low,high,nan,high,low,0
trend=low|volume=low|volatility=nan|recent_return=low|sec_ai=low|lots=0,0.0738194315920532,0.07243932774683035,0.07395400716892907,BUY,0.0001345755768758644,low,low,nan,low,low,0
trend=low|volume=high|volatility=nan|recent_return=medium|sec_ai=low|lots=1,0.0735257197790057,0.08400321956748684,0.08326087224139671,HOLD,0.0007423473260901314,low,high,nan,medium,low,1
trend=low|volume=medium|volatility=nan|recent_return=high|sec_ai=low|lots=0,0.06852039704491408,0.06859738149000992,0.06890178823231327,BUY,0.00030440674230335085,low,medium,nan,high,low,0
